Gender Code,Hours Worked,Ordinary Pay,Special Salary,Overtime Hours,Overtime Pay,Bonus Pay
W,1767,94865,,7,3788.27,
W,2053,91140,,7,4865.48,
W,2086,93756,,47,13330.44,
M,1832,93684,,41,3359.46,
M,2000,93104,,73,6562.72,
M,1734,93424,,9,8093.52,
M,1787,95644,,9,4200.17,
M,1888,93755,,9,3236.81,
M,1887,93289,,9,7483.99,
M,1742,99113,,9,10031.15,
W,1877,93853,,9,5516.62,
M,1884,92687,,9,4381.2,
W,1756,91127,,9,10735.19,
W,1632,93384,,9,5200.51,
W,2048,94690,,9,8608.31,
M,2077,95240,,9,5851.64,
M,1645,97542,,9,3833.77,
M,1912,94556,,9,9264.01,
M,1614,99844,,86,4899.33,
M,2014,95080,,45,9168.43,
M,1669,91698,,51,4661.01,
W,1913,90170,,76,6850.3,
M,1867,92384,,9,7136.01,
W,1998,91719,,9,12519.08,
W,1721,96101,,9,9970.97,
M,1910,95926,,9,5366.47,
M,1946,92929,,9,4405.92,
M,1979,99247,,9,9020.51,
W,2071,91537,,9,5414.57,
W,2073,93662,,91,3106.88,
W,1709,99324,,72,5641.52,
W,1958,98091,,51,8607.5,
W,1938,97478,,5,6932.34,
W,1649,99790,,5,6526.24,
W,1736,97803,,5,3427.03,
W,1602,95533,,5,8061.08,
W,1947,99395,,5,7105.74,
W,1886,95740,,5,5125.73,
M,1600,95564,,5,6060.92,
M,1752,98763,,5,2438.59,
M,2024,99544,,5,4301.32,
W,1949,94123,,61,5128.82,
W,1746,90217,,57,4393.04,
W,1807,90431,,44,3254.2,
W,1799,94373,,3,10772.37,
M,1698,90860,,3,9090.77,
M,1927,94981,,42,2708.06,
W,1654,96916,,41,6804.88,
W,1744,95147,,55,12726.21,
W,1918,95506,,87,6048.79,
W,1727,90393,,2,7719.36,
W,1832,93887,,2,7951.18,
W,1703,90289,,2,8913.58,
W,1923,94778,,2,11696.58,
W,1704,99120,,2,6112.23,
M,2055,99919,,2,5003.79,
M,1838,99622,,2,5084.23,
M,2024,93145,,2,5363.66,
M,1845,97531,,61,6506.17,
M,1795,96934,,73,10264.75,
M,1874,96323,,92,2076.08,
M,2041,91791,,9,5700.85,
M,1837,92698,,9,12190.77,
M,1935,99525,,9,6259.82,
M,1736,96686,,9,6916.63,
W,1741,99367,,9,3954.61,
W,1931,92913,,9,5848.53,
W,2015,93821,,9,4284.01,
W,1951,93816,,9,6773.99,
W,1817,94032,,9,11708.54,
W,2016,94997,,9,5750.36,
W,2051,92722,,9,8120.21,
M,1900,92008,,50,6456.41,
M,2000,99405,,100,5186.12,
M,1758,93176,,92,10862.81,
M,1659,98945,,0,6716.59,
M,1685,97453,,70,4982.43,
W,1906,99693,,80,4328.05,
W,1832,95023,,90,5411.47,
W,1656,94968,,0,7574.38,
W,1816,97509,,0,8805.99,
W,1777,99590,,0,5278.31,
W,1889,92868,,0,5186.66,
W,1726,99783,,62,5922.98,
W,2022,97925,,0,6691.64,
W,1929,91584,,0,3678.58,
W,1925,92652,,0,10977.08,
M,1926,97999,,0,10053.7,
M,1644,91133,,0,5024.29,
M,1993,95028,,47,7386.51,
W,1946,96529,,78,11678.66,
W,1828,97661,,53,13252.58,
W,1782,90246,,6,5464.01,
W,1788,90323,,6,7354.54,
W,1700,97303,,6,10898.19,
M,2066,98340,,6,7214.74,
M,1775,91908,,6,5072.36,
M,1688,92854,,6,6354.03,
M,2053,99812,,6,2530.18,
U,1980,96267,,6,5120.93,
M,1685,91120,,83,7750.35,
U,1751,97126,,56,5521.94,
U,1821,99671,,90,12397.14,
U,1767,99623,,5,6275.07,
U,1696,91634,,5,5557.26,
U,1753,91207,,4,6484.02,
U,1712,90810,,4,6436.21,
U,1748,97270,,4,4468.53,
U,1774,95420,,4,6831.17,
U,1735,90340,,4,8461.26,
U,1707,92492,,4,10314.29,
U,1760,95704,,4,6894.28,
U,2016,91817,,100,5628.61,
U,2055,94399,,51,3177.76,
U,1813,96343,,2,7055.84,
U,1648,94801,,2,8741.9,
U,2063,93035,,2,6560.56,
U,1928,92617,,2,3449.35,
U,1829,99467,,2,7613.18,
U,2039,96560,,2,4224.89,
W,1706,99394,,2,8431.18,
W,1994,97800,,2,6497.18,
W,1630,97710,,50,9526.97,
W,2024,97458,,84,4753.4,
M,1947,97213,,72,4918.78,
M,1765,96672,,88,6172.82,
M,1865,92372,,57,4724.47,
M,2025,93958,,99,10252.25,
M,1953,96202,,7,3233.12,
W,2032,93308,,90,5108.06,
W,2079,92917,,83,8133.07,
W,1770,91091,,71,4739.02,
W,1743,95824,,33,4820.45,
W,1850,97130,,73,5601.96,
W,1669,97359,,67,3470.12,
W,1688,94289,,52,6801.86,
W,1773,97090,,87,3165.05,
M,1614,90340,,2,3107.01,
M,1662,98010,,51,6056.01,
M,1639,99216,,67,4270.1,
M,1605,98333,,42,8135.18,
W,1828,97050,,66,10813.25,
W,1658,97218,,67,11374.25,
W,1774,91400,,84,5025.33,
W,1948,91563,,93,8687.07,
W,1672,99683,,0,5412.03,
W,1894,95942,,0,4633.4,
W,1743,97180,,0,4089.3,
W,1736,93935,,0,5424.7,
W,1707,95423,,0,4965.38,
W,1851,90069,,0,10323.27,
W,1624,97566,,0,4102.15,
M,1740,94182,,0,6513.65,
M,1804,94842,,0,4204.93,
W,1815,96619,,0,10130.92,
W,2080,91485,,0,3588.72,
W,1790,99642,,0,5617.09,
W,1942,95518,,0,6524.05,
W,1757,97811,,0,6122.61,
M,1970,96665,,0,9531.1,
M,1722,93325,,0,5514.15,
M,1699,95511,,0,10218.11,
W,1696,95869,,2,8230.27,
W,2029,90547,,93,6918.75,
W,1918,90834,,59,3822.4,
W,1676,98382,,2,6454.75,
W,1644,97685,,2,4790.29,
W,2020,92313,,2,8149.45,
W,2020,90557,,2,7818.65,
W,1612,91572,,2,6501.72,
M,2059,93410,,2,6749.68,
M,1608,95115,,2,5860.1,
M,1767,95557,,2,4501.3,
M,1796,97527,,8,3039.53,
W,1719,93200,,9,5199.59,
W,1923,97942,,43,8302.83,
W,1620,93445,,47,7006.79,
W,1879,97329,,91,11424.31,
W,1672,92258,,0,6541.49,
W,2054,92284,,0,10096.18,
W,1771,98216,,0,2843.43,
W,2063,97249,,0,3949.91,
W,1973,94846,,0,11477.88,
W,2080,98379,,0,9981.05,
W,1655,93965,,0,7846.55,
W,2025,94680,,0,8791.9,
W,1730,98071,,0,10502.3,
W,1855,96580,,0,2651.96,
W,2026,98442,,0,11956.49,
W,1838,91785,,0,6575.44,
M,1793,95145,,0,8141.6,
M,1863,99700,,0,6410.36,
M,1652,90264,,0,5934.77,
M,1661,92884,,0,7408.68,
W,1708,97470,,0,7659.71,
W,1927,90858,,0,5642.9,
W,1722,94984,,0,12040.33,
W,1954,93040,,0,9929.09,
W,1990,98412,,0,6253.49,
M,1606,99507,,43,6163.78,
M,1768,90945,,87,4547.08,
M,1776,90556,,3,4111.61,
M,1963,92393,,4,3747.35,
M,2025,90155,,4,6343.01,
W,1958,97792,,4,3008.68,
W,1659,95858,,4,9500.99,
W,1929,93606,,4,6230.12,
W,1805,94440,,4,10820.9,
W,2049,98442,,4,11254.85,
W,1809,92173,,64,9424.1,
W,2057,97161,,0,5379.73,
W,1918,99370,,0,5793.77,
W,1882,99517,,0,10163.56,
W,1935,90022,,0,8765.28,
W,2010,95093,,0,7050.58,
W,1682,91394,,0,8504.44,
W,2046,99431,,0,4192.33,
W,1629,98515,,0,5279.03,
W,2011,90608,,0,5203.22,
X,1695,90335,,0,10565.55,
X,2001,95151,,0,6381.96,
M,1867,96830,,0,4538,
M,1982,90458,,0,7246.18,
M,2009,97682,,81,3263.6,
U,2074,95362,,0,3027.71,
U,2051,98535,,0,5739.22,
U,1832,98938,,0,5097.1,
U,2021,94801,,0,7113.04,
M,2002,91400,,0,2474.86,
M,2051,97030,,0,2585.12,
M,1615,95070,,0,7253.53,
M,1854,94713,,0,7789.11,
M,1851,95413,,0,5416.93,
M,1754,99666,,0,4679.01,
W,1992,97372,,0,6009.06,
W,2057,91445,,0,5947.06,
W,1862,94291,,0,9947.37,
W,1944,90954,,0,3850.79,
W,2036,96723,,0,6260.8,
W,1753,93044,,0,3161.49,
W,2061,95422,,95,9406.11,
W,1839,90319,,0,6961.56,
W,1901,96505,,0,4749.89,
W,1770,93904,,0,10647.19,
W,1779,95609,,0,7547.84,
W,1635,94574,,0,11459.62,
M,1801,92543,,0,4209.28,
M,1601,94389,,0,7160.04,
M,1913,99024,,0,7556.93,
M,1818,90247,,0,9947.36,
W,1844,92549,,0,6005,
W,1974,96720,,0,5065.75,
W,1797,95376,,0,8100.58,
M,1729,90742,,0,10965.8,
M,1697,92033,,0,12954.94,
M,1922,93476,,0,5806.4,
M,1761,92984,,0,7888.74,
M,2073,98012,,0,3287.29,
M,1821,94929,,0,5895.79,
M,1731,96983,,0,7113.45,
W,1729,99553,,0,5334.35,
W,1637,91047,,2,2477.48,
W,1976,99382,,2,5576.59,
W,2063,91709,,2,5753.96,
W,2022,99107,,2,6492.28,
W,1823,99936,,2,7841.11,
W,1676,94034,,2,10290.04,
M,1985,99771,,2,3263.33,
M,1902,98494,,2,3382.84,
M,1997,96627,,2,6390.11,
M,1608,96003,,2,10406.69,
M,1942,97710,,2,6324.97,
M,1831,90288,,2,7467.07,
M,1987,96910,,3,5147.49,
W,2073,94161,,3,4962.35,
W,2071,92101,,3,5273.46,
W,1967,90852,,3,10941.73,
W,1956,99016,,3,4961.61,
W,1911,91395,,3,5909.33,
W,2070,99432,,3,5790.24,
W,1930,95197,,3,1928.43,
W,1841,93293,,8,6376.5,
W,1935,94321,,8,6161.83,
W,1750,92508,,8,3578.93,
M,1706,95778,,8,4524.66,
W,1671,96261,,8,12240.13,
W,1911,92077,,8,6091.97,
W,1833,91259,,8,6236.25,
W,1612,90446,,8,8423.04,
W,1927,90697,,8,9276.08,
W,1601,97221,,8,4599.39,
W,1680,94159,,8,9629.41,
W,1759,93261,,8,5796.87,
W,2085,90552,,8,5097.45,
W,1956,99673,,8,3999.29,
W,1913,97599,,8,7990.1,
W,1818,91538,,8,11737.25,
W,1968,97931,,9,4689,
W,1990,90995,,9,13508.43,
M,1896,91762,,9,5510.11,
W,1958,97552,,9,14008.23,
W,1657,76548,,9,5767.28,
M,1746,79048,,9,7612.79,
M,1659,83392,,9,4386.38,
M,1987,71185,,77,3603.19,
M,1983,74091,,67,8223.72,
M,1987,70103,,66,6941.31,
W,2004,83250,,0,8733.23,
W,1932,88324,,0,5340.92,
W,1748,70687,,0,12655.45,
W,1974,71653,,0,4917.55,
W,1817,76546,,0,6862.42,
W,1791,76136,,0,6873.52,
M,1765,76198,,0,8996.53,
M,2056,85445,,0,10311.63,
W,1659,82804,,0,6485.26,
W,1750,72018,,0,4463.26,
W,1966,85052,,0,2423.96,
M,1697,79221,,0,4957.29,
W,1916,79731,,0,3586.19,
W,1890,70600,,0,7195.5,
W,1966,71909,,0,10371.36,
D,1892,146756,,0,0,333
